Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,3212.949951,3228.110107,3182.659912,3182.659912,3182.659912,37972500
2019-02-15,3179.379883,3247.340088,3175.709961,3241.250000,3241.250000,53343300
2019-02-18,3239.100098,3248.139893,3235.570068,3244.790039,3244.790039,28073100
2019-02-19,3242.790039,3251.219971,3223.399902,3239.409912,3239.409912,31367500
2019-02-20,3241.699951,3264.709961,3236.739990,3259.489990,3259.489990,29929400
2019-02-21,3261.739990,3270.070068,3254.570068,3263.699951,3263.699951,33636700
2019-02-22,3263.489990,3281.780029,3259.739990,3270.550049,3270.550049,26574400
2019-02-25,3275.020020,3289.479980,3275.020020,3280.010010,3280.010010,33385600
2019-02-26,3275.139893,3293.760010,3261.030029,3289.320068,3289.320068,34342200
2019-02-27,3283.570068,3287.469971,3269.979980,3282.770020,3282.770020,42644400
2019-02-28,3271.139893,3301.020020,3268.949951,3298.260010,3298.260010,51174200
2019-03-01,3306.590088,3330.479980,3306.590088,3312.100098,3312.100098,38063300
2019-03-04,3318.100098,3329.649902,3315.629883,3317.120117,3317.120117,28131100
2019-03-05,3316.959961,3330.719971,3308.639893,3327.189941,3327.189941,33779500
2019-03-06,3322.959961,3340.669922,3317.979980,3324.669922,3324.669922,35932200
2019-03-07,3321.179932,3337.659912,3293.340088,3308.850098,3308.850098,56107700
2019-03-08,3299.850098,3299.850098,3273.679932,3283.600098,3283.600098,45267900
2019-03-11,3290.760010,3306.639893,3284.679932,3304.439941,3304.439941,29420800
2019-03-12,3312.320068,3320.239990,3291.909912,3303.949951,3303.949951,30738900
2019-03-13,3301.810059,3327.350098,3300.169922,3323.449951,3323.449951,32471200
2019-03-14,3322.919922,3349.850098,3322.919922,3342.030029,3342.030029,37300300
2019-03-15,3345.060059,3394.320068,3345.060059,3386.080078,3386.080078,91316800
2019-03-18,3385.459961,3392.629883,3380.649902,3387.939941,3387.939941,36098000
2019-03-19,3389.810059,3422.340088,3386.260010,3409.000000,3409.000000,34176600
2019-03-20,3404.100098,3406.120117,3372.379883,3372.379883,3372.379883,32977700
2019-03-21,3372.360107,3376.209961,3348.949951,3367.399902,3367.399902,34551900
2019-03-22,3371.679932,3377.929932,3301.600098,3305.729980,3305.729980,58032900
2019-03-25,3297.409912,3313.429932,3281.969971,3300.479980,3300.479980,33906700
2019-03-26,3302.129883,3326.350098,3293.679932,3319.530029,3319.530029,32046100
2019-03-27,3322.639893,3344.669922,3302.800049,3322.040039,3322.040039,44786200
2019-03-28,3321.340088,3337.560059,3315.909912,3320.290039,3320.290039,31273500
2019-03-29,3326.449951,3354.300049,3326.449951,3351.709961,3351.709961,35922300
2019-04-01,3353.669922,3390.979980,3353.669922,3385.379883,3385.379883,38161900
2019-04-02,3386.179932,3402.770020,3382.840088,3395.699951,3395.699951,28848000
2019-04-03,3399.929932,3435.899902,3399.929932,3435.560059,3435.560059,36713500
2019-04-04,3434.340088,3449.439941,3425.189941,3441.929932,3441.929932,33147500
2019-04-05,3445.050049,3453.020020,3437.919922,3447.469971,3447.469971,31096400
2019-04-08,3446.149902,3447.110107,3433.469971,3438.060059,3438.060059,25222700
2019-04-09,3437.070068,3450.689941,3416.669922,3417.219971,3417.219971,29949900
2019-04-10,3418.360107,3435.320068,3418.360107,3424.649902,3424.649902,29288800
2019-04-11,3430.729980,3442.250000,3412.149902,3435.340088,3435.340088,36881200
2019-04-12,3432.159912,3454.770020,3425.840088,3447.830078,3447.830078,45588800
2019-04-15,3448.909912,3456.540039,3443.560059,3450.459961,3450.459961,32902000
